title,desc,user_registered,offer_posted,url
FORD FOCUS MK1 lampa przód prawa lewa, FORD FOCUS MK1 lampa przód cena 40zl sztuka Kielce telefon 517--965--401 ,Mar 2022,20 Maj 14:14,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Tokarka uniwersalna COLCHESTER MASTIFF V/S 1800, Szybki kontakt: *** *** *** Tokarka uniwersalna COLCHESTER MASTIFF V/S 1800 zbudowana została w Wielkiej Brytanii w 1998 roku. Dane techniczne tokarki COLCHESTER MASTIFF V/S 1800 - długość toczenia: 2000 mm - średnica toczenia nad łożem: 560 mm - średnica toczenia nad supportem: 370 mm - falownik: MITSUBISHI Freqrol A200 - ekran cyfrowy: SONY LH52 - prędkość obrotowa wrzeciona: 1800 rpm - średnica otworu we wrzecionie: 90 mm - moc wrzeciona: 11 kW - wymiary maszyny MASTIFF VS 1800: (dł. x szer. x wys.): 3750 x 1700 x 2100 mm - waga całkowita: 3250 kg Więcej informacji na temat maszyny znajdziecie Państwo na naszej stronie internetowej. Zapraszamy również do zapoznania się z pełną ofertą z naszymi maszynami. Proszę o kontakt telefoniczny: Tomasz Konieczko tel. *** *** *** ,Cze 2016,20 Maj 14:41,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
"Plyta LP.,Skladanka ; J.Mizera --Melodie z usmiechem."," MuzaXL884 , bdb. odbior wysylka.;1--3 LP= 15 zl. Pytania na meila. ",Wrz 2018,20 Maj 14:35,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Kurtka zimowa długa rozmiar L jak nowa," Witam, posiadam na sprzedaż kurtkę zimową rozmiar L była ona ubrana kilka razy brak śladów użytkowania. Kolor butelkowa zieleń na zdjęciach odbija się światło. ",Sie 2021,20 Maj 14:34,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
syrena 105 bosto R20  klamka drzwi, syrena 105 bosto r20 klamka drzwi cena 50zl sztuka KIELCE telefon 517 965 401 ,Mar 2022,20 Maj 14:15,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
KATALIZATOR SCR DAF XF 106 EURO 6, KATALIZATOR SCR DAF XF 106 EURO 6 CENA NETTO: 1000 CENA BRUTTO: 1230 NR CZĘŚCI 1940705 Na pozostałych naszych aukcjach znajdą Państwo wszystkie części do SCANIA i DAF. ,Wrz 2022,20 Maj 14:14,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Anios Aniospray Quick - 5 litrów nowy płyn do dezynfekcji," Mam na zbyciu 5L nowego płynu do dezynfekcji Anios Aniospray Quick.  Nieużywany, nieotwierany. ",Sie 2018,20 Maj 14:29,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
IR SENSOR 890.KEO-LE32Z1M-0H, 100% sprawny Przy wpłacie przesyłka 10zł ,Maj 2017,20 Maj 14:31,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
"PLAKATY FILMOWE (kinowe) - różne filmy, duże, format 95 x 70"," Witam serdecznie, Do sprzedania oferuję mały zbiorek plakatów filmowych. FORMAT: ok. 70 x 95 cm Część plakatów dwustronna, część jednostronna. Wszystkie plakaty są używane, oryginalne, pochodzą z polskiej dystrybucji filmowej - najczęściej są to wersje polskojęzyczne, ale znajdą się również angielskojęzyczne. Wszystkie spędziły ładnych parę lat w szafie, w stanie zwiniętym w rolkę. Stan rozmaity: od idealnych po dość mocno używane. Szczegóły podaję poniżej, przy konkretnych tytułach, wraz z cenami. PRZY ZAKUPIE WSZYSTKICH PLAKATÓW - MOCNA OBNIŻKA CENY CAŁOŚCIOWEJ! DOSTĘPNE TYTUŁY: 1) BARDZO DŁUGIE ZARĘCZYNY (30 zł) Jednostronny, wersja polska, bardzo rzadko spotykana. Stan bardzo dobry. Drobne, standardowe mankamenty: ślady zagięcia rogów, małe pęknięcia krawędzi, załamania powierzchni. 2) TURISTAS. RAJ UTRACONY (PARADISE LOST) (30 zł) Jednostronny, wersja polska. Stan bardzo dobry, praktycznie idealny. 3) OBCY KONTA PREDATOR 2 (15 zł) Jednostronny, wersja polska. Stan dobry - byłby lepszy gdyby nie ślady po złożeniu (zgięciu), widoczne na czarnej powierzchni papieru. Poza tym standardowe mankamenty: ślady zagięcia rogów, małe pęknięcia krawędzi, załamania powierzchni. 4) VICKY CRISTINA BARCELONA (15 zł) Jednostronny, wersja polska. Plakat mocno używany - przez kilka lat wisiał na ścianie dwóch różnych mieszkań, następnie wiele lat przeleżał zwinięty w rolce. Ma standardowe uszkodzenia - ślady zagięcia rogów, małe pęknięcia krawędzi, załamania powierzchni od wielokrotnego zwijania. Z tyłu - liczne pozostałości po taśmie klejącej (zarówno dwustronnej jak i jednostronnej) - głównie w rogach oraz na górnej i dolnej krawędzi. 5) HOSTEL (15 ZŁ) Dwustronny (tył - odbicie lustrzane), wersja angielska (zapowiedź). Standardowe mankamenty - ślady zagięcia rogów, małe pęknięcia krawędzi, załamania powierzchni. Tuż przy dolnej krawędzi dwa małe uszkodzenia w formie zdarcia powierzchni papieru: z przodu malutkie, z tyłu nieco większe. DZIENNIKI MOTOCYKLOWE - SPRZEDANE WYZNANIA GEJSZY - SPRZEDANE PŁATNOŚĆ, ODBIÓR, WYSYŁKA: Zakup możliwy poprzez kontakt przez wiadomość prywatną, gdzie sprzedający i kupujący uzgodnią warunki transakcji. TYLKO ODBIÓR OSOBISTY - możliwy w Starej Wsi koło Brzozowa (woj. podkarpackie). NIE WYSYŁAM. Serdecznie zapraszam! ",Mar 2021,20 Maj 14:26,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Uszkodzona Płyta indukcyjna Electrolux EHD 6005P Lublin," Jeśli czytasz to ogłoszenie znaczy to, że jest AKTUALNE. Uszkodzona Płyta indukcyjna Electrolux EHD 6005P. Sprzedam Uszkodzoną Płytę indukcyjną Electrolux EHD 6005P. Płyta potrafi się sama wyłączać w losowych odstępach czasu. Płyta ma najprawdopodobniej identyczną usterkę jak opisana w wątku na elektrodzie: elektroda.pl/rtvforum/topic3343207.html Płyta posiada normalne ślady użytkowania. Cena ostateczna, bez negocjacji, nie wysyłam, nie zamieniam. Na sms/czat nie odpisuje, nie sprawdzam. Kontakt telefoniczny 10-20. Tylko odbiór osobisty – Lublin Czuby. ",Wrz 2017,20 Maj 14:33,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Samolot Weedhopper, Stan B dobry latał w kwietniu wszystko sprawne komplet dokumentów silnik 38 hp nalot 41 godz. dobry do nauki latania łatwy w pilotażu tel.********* ,Lip 2011,20 Maj 14:18,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Wolverine MTW 10 Billet Tactical 2022 asg hpa replika," Nowy, fabrycznie zamknięty mtw od wolverine. Najnowsza wersja ze wszystkimi ulepszeniami i funkcjami. Nie wysyłam, odbiór tylko osobisty. ",Sty 2018,20 Maj 14:27,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
"Plyta winylowa  LP,Jazz ;THE BANDS BEST--DUTCH SWING; 2 LP.", PHILIPS DOSKONALY  wysylka.; 1-3 LP= 15 ZL. Pytania na meila. ,Wrz 2018,20 Maj 14:36,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
hyundai coupe pajak przełacznik zespolony, hyundai coupe pająk przełacznik zespolony cena 40zl Kielce telefon 517 965 401 ,Mar 2022,20 Maj 14:14,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Fiat 126p Maluch klawiatura, Fiat 126p maluch klawiatura cena 35zl Kielce telefon 517''965'''401 ,Mar 2022,20 Maj 14:15,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
hyundai coupe kierunkowskaz prawy lewy, hyundai coupe kierunkowskaz cena 50zl sztuka Kielce telefon 517 965 401 ,Mar 2022,20 Maj 14:14,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Sprzedam opony Sava 16c, Sprzedam opony widoczne na zdjęciach w cenie 70 złotych za sztukę ,Kwi 2023,20 Maj 14:38,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Wtryskiwacz 0445110489 CV6Q9F593AA FORD 1.6, Części do Forda Bratford Radom ,Sty 2022,20 Maj 14:19,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
PEUGEOT J5 DUCATO C25 zamek drzwi prawy lewy, Peugeot j5 ducato C25 zamek drzwi cena 100zl sztuka Kielce telefon 517---965''401 ,Mar 2022,20 Maj 14:14,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Strój kąpielowy SK0044 Stanteks," Wysokiej jakości strój pływacki damski z usztywnianymi miskami. Idealnie nadający się na basen i nie tylko. Super wytrzymały dopasowujący się do ciała i bardzo komfortowy. Strój wykonany jest z oryginalnej włoskiej Lycry, najwyższej jakości, na licencji amerykańskiej firmy ""DU PONT” Zaletą tego stroju są profilowane usztywniane miseczki które idealnie profilują ,unoszą i powiększają biust. Strój ten nadaje się zarówno na basen jak i plażę. Strój produkowany tylko na eksport. Skład : 80% Poliamid 20% Elastan   Rozmiar: 36, 38, 40, 42, 44   Dostępne kolory: - czarny z drukowanymi żółtymi wstawkami - czarny z drukowanymi białymi wstawkami  Minimalna ilość zamówienia 3 szt  www.*********** ",Sie 2017,20 Maj 14:42,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
LG 32LB3000 moduły sprawne, Moduły do LG 32LG3000 Matryca uszkodzona Main EAX401150702 V3.45 > brak Moduł IR > brak Zasilacz > Brak Klawiatura lokalna 30 zł + przesyłka Reszta ok Ceny do uzgodnienia ,Maj 2017,20 Maj 14:31,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
"Blaty, deski na szalunki ok. 6 m³"," Posiadam blaty oraz deski na szalunki. Użyte raz, wyselekcjonowane i wybrane czyste, które nadają się do ponownego użycia. Ilość ok 6m³ ",Maj 2023,20 Maj 14:14,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
KIA CARENS II lampa tył lewa, KIA CARENS II lampa tył lewa cena 40zl Kielce telefon 517--965--401 ,Mar 2022,20 Maj 14:13,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
E91 idrive, Część po naprawie bez zimnego lutu z E91 2008 .stan bdb pokrętło super nie klei się ładnie wygląda.odbiór osobisty ,Mar 2017,20 Maj 14:43,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Skladanka ; GOLDEN OLDIES [2]--2 LP winylowe. Tonpress.," 1. LETS TWIST; Doskonaly, SX-T 0156, 1988r.-15zl. 2.  PNLY YOU , BDB. SXT 135 , 1099R.--15 ZL.  Pytania na meila. ",Wrz 2018,20 Maj 14:36,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
VW Golf IV zderzak przod tył, vw golf IV zderzak przód tyl cena 80zl sztuka Kielce telefon 517 965 401 ,Mar 2022,20 Maj 14:14,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Skrzynia Biegów 20DM68 Peugeot Citroen 2.0 16V Regeneracja," Witamy na naszej aukcji Skrzynia Biegów 20DM68 Pasująca do Aut -Citroen -Peugeot Ilość biegów 5 Pojemność silnika 2.0 16V Każda skrzynia biegów przed wyjazdem jest sprawdzona na hamowni pod kątem: generowanych hałasów działania biegów synchronizatorów szczelności układu Warunkiem zakupu oraz Gwarancji jest zwrot zużytej skrzyni biegów. Wystawiamy Dowód Zakupu Udzielamy pisemnej 12 miesięcy gwarancji Jeżeli nie znaleźli Państwo skrzyni biegów, która Was interesuje prosimy o kontakt. Prosimy podać numer VIN w celu dobrania odpowiedniej skrzyni biegów. Oferujemy także regenerację Państwa skrzyni biegów. ",Lip 2020,20 Maj 14:15,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
"Renault 1,9dci pompa wtryskowa paliwa 0445010018"," renault 1,9dci pompa wtryskowa nr.0445010018 cena 60zl telefon 517 965 401 KILECE ",Mar 2022,20 Maj 14:14,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
MODUŁ WI-FI BN96-01161A WIDT30Q, Sprawny Po wpłacie przesyłka 12zł ,Maj 2017,20 Maj 14:33,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
LVDS EAD63787824   do LG 65UK6950PLB, Moduły LG 65UK6950PLB Zbita matryca Ledy OK Brak stópek i pilota ZASILACZ brak EAD63986801 TAŚMA POŁĄCZENIOWA IR A:330 C:20 WIFI B:330 C:20 10zł EAD63787824 LVDS LEAD FOR LG 65UK6950PLB.BEKWLJP Płyta Główna EAX67872805(1.1 Brak LOGIKA 6870C-0750A V17 65UHD TS-CIC 60HZ Brak ,Maj 2017,20 Maj 14:31,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Łyżworolki regulowany rozmiar 33-36," Sprzedam łyżworolki w dobrym stanie. Rozmiar jest regulowany od 33 do 36, sprawne. ",Lis 2017,20 Maj 14:41,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
T-con 6870C-0358A V6 32/42/47do Thomson 32FU5253, Sprawny 100% Przy wpłacie to przesyłka w cenie. ,Maj 2017,20 Maj 14:31,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Meble na wymiar wg projektu drewno sklejka płyta mdf cięcie," Chętnie zrealizujemy wszelkie zamówienia na frezowanie, cięcie i grawerowanie CNC. Frezujemy fronty meblowe oraz ozdobne panele ścienne. Wycinamy także inne elementy mebli zgodnie z projektem. Wycinamy, frezujemy oraz grawerujemy, przy użyciu nowoczesnego plotera CNC (pole robocze 2600x1400mm) w następujących materiałach: - Sklejka drewniana - Drewno lite i klejone - MDF, - HPL - PCV i PVC, - plexi - akryl - dibond oraz innych tworzywach sztucznych i materiałach drewnopochodnych. Zapraszamy do współpracy osoby prywatne oraz firmy, możliwość wystawienia faktury VAT. Zamówione produkty wysyłamy kurierem, oczywiście jest też możliwość odbioru osobistego. ",Maj 2023,20 Maj 14:30,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Sukienka rozmiar 38, Sprzedam raz założoną sukienkę w rozmiarze 38 w idealnym stanie. Długość całkowita 90cm tył trochę dłuższy. Szerokość w pasie 33x2 Szerokość w biuście 42-43x2 ,Maj 2023,20 Maj 14:14,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
VW GOLF III lampa tył lewa, VW GOLF III lampa tył lewa cena 40zl KIELCE Telefon 517--965--401 ,Mar 2022,20 Maj 14:15,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
"Audi Vw Skoda Seat 1,4TDI silnik AMF"," AUDI VW SEAT SKODA silnik 1,4tdi kod AMF cena 600zl Kielce telefon 517 965 401 ",Mar 2022,20 Maj 14:14,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
"SUZUKI GRAND VITARA II 1,9ddis przewody wtryskowe rurki"," SUZUKI GRAND VITARA II 1,9DDIS przewody wtryskowe cena 50zl komplet Kielce telefon 517--965--401 ",Mar 2022,20 Maj 14:13,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Sukieneczka z perełkami," Piękna czerwona sukieneczka w roz. Uniwersalnym  Polecam na S/M małe L Sukienka nie prześwituje. Super fason, pięknie się prezentuje,mozna nosić z paseczkiem. Świetnie nadaje się na wyjątkowe okazję. Perełki są nabite więc nie odpadną. Uroku dodają białe  mankieciki i biały kołnierzyk.  Zdjęcie nie odzwierciedla uroku tej sukieneczki. Jest piękna!!! Stan określam jako IDEALNY!!! NOWA !!!  Przesyłka 18 zł paczkomat ",Sty 2013,20 Maj 14:16,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
"Kierownik Robót - Uprawnienia Konstrukcyjno Budow , Drogowe"," Szukam dodatkowego zatrudnienia przy pełnieniu funkcji technicznych tj, odbiory elementów zanikających wraz wpisami do dziennika budowy ( popołudniami lub w soboty, nie interesuje mnie pełny etat ), posiadam Uprawnienia Budowlane w specjalności Drogowej oraz Konstrukcyjno Budowlanej.Współprace oferuje dla prywatnych inwestorów lub firm budowlanych z godnie z Prawem Budowlanym pełnienia funkcji technicznych na budowach:  - KIEROWNIKA ROBÓT - INSPEKTORA NADZORU - KONTROLI OKRESOWEJ BUDYNKÓW BUDOWLI  Dodatkowo: pomoc w przygotowaniu Specyfikacji Istotnych Warunków Zamówienia, Zakresów Rzeczowych, dobrania odpowiednich wzorów Umów na roboty budowlane remontów i inwestycji ( pomoc niema charakteru konsultacji prawnej )  Praca dodatkowa  Okolice : Sosnowiec, Będzin, Dąbrowa Górnicza, Czeladź, Jaworzno, Mysłowice, Katowice, Siemianowice Śląskie ( a nawet dalej ale to już podchodzę indywidualnie do propozycji)  O mnie:  Jestem Magistrem Inżynierem Budownictwa posiadam uprawnienia Budowlane w specjalności Konstrukcyjno Budowlanej oraz Drogowej przynależę do Śląskiej Okręgowej Izby Inżynierów Budownictwa .  Nie prowadzę działalności gospodarczej , ogłoszenie jest od osoby prywatnej / praca dodatkowa  Odpowiem na każde pytania  Pozdrawiam ",Lis 2016,20 Maj 14:37,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Gaźnik weber Żuk nysa warszawa, Sprzedam gaźnik weber Żuk nysa warszawa. Stan nieznany. Możliwa wysyłka ,Kwi 2016,20 Maj 14:12,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
Silnik WFM OSA M52 S33 wsk shl m04 junak," Sprzedam widoczny silnik do wfm osa. Wał w środku zdrowy bez luzów, ładny wentylator, połówki zgodne, brak tłoka ",Lis 2016,20 Maj 14:41,https://sprzedajemy.pl/skrzynia-biegow-20dp35-fiat-peugeot-citroen-1-6-regeneracja-ryki-2-6bea9f-nr67631548
